Wk,Day,Family,OT1,OT2,OT3,Full OT,Psalms,NT
,Thu,Joshua 9,Exodus 4,Proverbs 19,2 Chronicles 24,Deuteronomy 8-10,63,Philippians 3
,Fri,Joshua 10,Exodus 5,Proverbs 20,2 Chronicles 25,Deuteronomy 11-13,64,Philippians 4
,,,,,,,,
12,Mon,Joshua 24,Exodus 6,Proverbs 21,2 Chronicles 26,Deuteronomy 14-16,65,Philemon 1
,Tue,Judges 1,Exodus 7,Proverbs 22,2 Chronicles 27,Deuteronomy 17-19,66,Colossians 1
,Wed,Judges 2,Exodus 8,Proverbs 23,2 Chronicles 28,Deuteronomy 20-22,67,Colossians 2
,Thu,1 Samuel 1,Exodus 9,Proverbs 24,Hosea 1,Deuteronomy 23-25,68,Colossians 3
,Fri,1 Samuel 2,Exodus 10,Proverbs 25,Hosea 2,Deuteronomy 26-28,69-70,Colossians 4
,,,,,,,,
13,Mon,1 Samuel 3,Exodus 11,Proverbs 26,Hosea 3,Deuteronomy 29-31,71,Ephesians 1
,Tue,1 Samuel 8,Exodus 12,Proverbs 27,Hosea 4,Deuteronomy 32-34,72,Ephesians 2
,Wed,1 Samuel 9,Exodus 13,Proverbs 28,Hosea 5,Joshua 1-3,73,Ephesians 3
,Thu,1 Samuel 10,Exodus 14,Proverbs 29,Hosea 6,Joshua 4-6,74,Ephesians 4
,Fri,1 Samuel 11,Exodus 15,Proverbs 30,Hosea 7,Joshua 7-9,75-76,Ephesians 5
,,,,,,,,
14,Mon,1 Samuel 15,Exodus 16,Proverbs 31,Hosea 8,Joshua 10-12,77,Ephesians 6
,Tue,1 Samuel 16,Exodus 17,Ecclesiastes 1,Hosea 9,Joshua 13-15,78,Matthew 1
,Wed,1 Samuel 17,Exodus 18,Ecclesiastes 2,Hosea 10,Joshua 16-18,79,Matthew 2
,Thu,2 Samuel 5,Exodus 19,Ecclesiastes 3,Hosea 11,Joshua 19-21,80,Matthew 3
,Fri,2 Samuel 7,Exodus 20,Ecclesiastes 4,Hosea 12,Joshua 22-24,81-82,Matthew 4
,,,,,,,,
15,Mon,2 Samuel 23,Exodus 21,Ecclesiastes 5,Hosea 13,Judges 1-3,83,Matthew 5
,Tue,1 Kings 1,Exodus 22,Ecclesiastes 6,Hosea 14,Judges 4-6,84-85,Matthew 6
,Wed,1 Kings 2,Exodus 23,Ecclesiastes 7,2 Chronicles 29,Judges 7-9,86,Matthew 7
,Thu,1 Kings 3,Exodus 24,Ecclesiastes 8,2 Chronicles 30,Judges 10-12,87,Matthew 8
,Fri,1 Kings 4,Exodus 25,Ecclesiastes 9,2 Chronicles 31,Judges 13-15,88,Matthew 9
,,,,,,,,
16,Mon,1 Kings 8,Exodus 26,Ecclesiastes 10,2 Chronicles 32,Judges 16-18,89,Matthew 10
,Tue,1 Kings 12,Exodus 27,Ecclesiastes 11,2 Chronicles 33,Judges 19-21,90,Matthew 11
,Wed,1 Kings 17,Exodus 28,Ecclesiastes 12,2 Chronicles 34,Ruth 1-4,91,Matthew 12
,Thu,1 Kings 18,Exodus 29,Song of Solomon 1,2 Chronicles 35,1 Samuel 1-3,92-93,Matthew 13
,Fri,2 Kings 1,Exodus 30,Song of Solomon 2,2 Chronicles 36,1 Samuel 4-6,94,Matthew 14
,,,,,,,,
17,Mon,2 Kings 2,Exodus 31,Song of Solomon 3,Jeremiah 1,1 Samuel 7-9,95,Matthew 15
,Tue,2 Kings 3,Exodus 32,Song of Solomon 4,Jeremiah 2,1 Samuel 10-12,96,Matthew 16
,Wed,2 Kings 4,Exodus 33,Song of Solomon 5,Jeremiah 3,1 Samuel 13-15,97,Matthew 17
,Thu,2 Kings 5,Exodus 34,Song of Solomon 6,Jeremiah 4,1 Samuel 16-18,98,Matthew 18
,Fri,2 Kings 17,Exodus 35,Song of Solomon 7,Jeremiah 5,1 Samuel 19-21,99-100,Matthew 19
,,,,,,,,
18,Mon,2 Kings 18,Exodus 36,Song of Solomon 8,Jeremiah 6,1 Samuel 22-24,101-102,Matthew 20
,Tue,2 Kings 19,Exodus 37,1 Kings 12,Jeremiah 7,1 Samuel 25-27,103,Matthew 21
,Wed,2 Kings 20,Exodus 38,1 Kings 13,Jeremiah 8,1 Samuel 28-31,104,Matthew 22
,Thu,2 Kings 21,Exodus 39,1 Kings 14,Jeremiah 9,2 Samuel 1-3,105,Matthew 23
,Fri,2 Kings 22,Exodus 40,1 Kings 15,Jeremiah 10,2 Samuel 4-6,106,Matthew 24
,,,,,,,,
19,Mon,2 Kings 23,Leviticus 1,1 Kings 16,Jeremiah 11,2 Samuel 7-9,107,Matthew 25
,Tue,2 Kings 24,Leviticus 2,1 Kings 17,Jeremiah 12,2 Samuel 10-12,108,Matthew 26
,Wed,2 Kings 25,Leviticus 3,1 Kings 18,Jeremiah 13,2 Samuel 13-15,109,Matthew 27
,Thu,Ezra 1,Leviticus 4,1 Kings 19,Jeremiah 14,2 Samuel 16-18,110,Matthew 28
,Fri,Ezra 2,Leviticus 5,1 Kings 20,Jeremiah 15,2 Samuel 19-21,111-112,2 Corinthians 1
,,,,,,,,
20,Mon,Ezra 3,Leviticus 6,1 Kings 21,Jeremiah 16,2 Samuel 22-24,113,2 Corinthians 2
,Tue,Ezra 4,Leviticus 7,1 Kings 22,Jeremiah 17,1 Kings 1-4,114,2 Corinthians 3
,Wed,Ezra 5,Leviticus 8,2 Kings 1,Jeremiah 18,1 Kings 5-7,115,2 Corinthians 4
,Thu,Ezra 6,Leviticus 9,2 Kings 2,Jeremiah 19,1 Kings 8-10,116-117,2 Corinthians 5
,Fri,Nehemiah 1,Leviticus 10,2 Kings 3,Jeremiah 20,1 Kings 11-13,118,2 Corinthians 6
,,,,,,,,
21,Mon,Nehemiah 2,Leviticus 11,2 Kings 4,Jeremiah 21,1 Kings 14-16,119,2 Corinthians 7
,Tue,Nehemiah 3,Leviticus 12,2 Kings 5,Jeremiah 22,1 Kings 17-19,119,2 Corinthians 8
,Wed,Nehemiah 4,Leviticus 13,2 Kings 6,Jeremiah 23,1 Kings 20-22,119,2 Corinthians 9
,Thu,Nehemiah 5,Leviticus 14,2 Kings 7,Jeremiah 24,2 Kings 1-3,119,2 Corinthians 10
,Fri,Nehemiah 6,Leviticus 15,2 Kings 8,Jeremiah 25,2 Kings 4-6,119,2 Corinthians 11
,,,,,,,,
22,Mon,Nehemiah 8,Leviticus 16,2 Kings 9,Jeremiah 26,2 Kings 7-9,120-121,2 Corinthians 12
,Tue,Nehemiah 9,Leviticus 17,2 Kings 10,Jeremiah 27,2 Kings 10-12,122,2 Corinthians 13
,Wed,Job 1,Leviticus 18,2 Kings 11,Jeremiah 28,2 Kings 13-15,123,Romans 1
,Thu,Job 2,Leviticus 19,2 Kings 12,Jeremiah 29,2 Kings 16-18,124,Romans 2
,Fri,Job 19,Leviticus 20,2 Kings 13,Jeremiah 30,2 Kings 19-21,125-126,Romans 3
,,,,,,,,
23,Mon,Job 38,Leviticus 21,2 Kings 14,Jeremiah 31,2 Kings 22-25,127-128,Romans 4
,Tue,Job 39,Leviticus 22,Joel 1,Jeremiah 32,1 Chronicles 1-3,129,Romans 5
,Wed,Job 40,Leviticus 23,Joel 2,Jeremiah 33,1 Chronicles 4-6,130,Romans 6
,Thu,Job 41,Leviticus 24,Joel 3,Jeremiah 34,1 Chronicles 7-9,131,Romans 7
,Fri,Job 42,Leviticus 25,Amos 1,Jeremiah 35,1 Chronicles 10-12,132,Romans 8
,,,,,,,,
24,Mon,Psalm 1,Leviticus 26,Amos 2,Jeremiah 36,1 Chronicles 13-15,133-134,Romans 9
,Tue,Psalm 2,Leviticus 27,Amos 3,Jeremiah 37,1 Chronicles 16-18,135,Romans 10
,Wed,Psalm 8,Numbers 1,Amos 4,Jeremiah 38,1 Chronicles 19-21,136,Romans 11
