Wk,Day,Family,OT1,OT2,OT3,Full OT,Psalms,NT
,,,,,,,,
49,Mon,Hebrews 9,1 Samuel 9,Job 23,Zechariah 11,Joel 1-3,127-128,Revelation 3
,Tue,Hebrews 10,1 Samuel 10,Job 24,Zechariah 12,Amos 1-3,129,Revelation 4
,Wed,Hebrews 11,1 Samuel 11,Job 25,Zechariah 13,Amos 4-6,130,Revelation 5
,Thu,Hebrews 12,1 Samuel 12,Job 26,Zechariah 14,Amos 7-9,131,Revelation 6
,Fri,Hebrews 13,1 Samuel 13,Job 27,,Obadiah 1,132,Revelation 7
,,,,,,,,
50,Mon,1 John 1,1 Samuel 14,Job 28,Esther 1,Jonah 1-4,133-134,Revelation 8
,Tue,1 John 2,1 Samuel 15-16,Job 29,Esther 2,Micah 1-4,135,Revelation 9
,Wed,1 John 3,1 Samuel 17,Job 30,Esther 3,Micah 5-7,136,Revelation 10
,Thu,1 John 4,1 Samuel 18,Job 31,Esther 4,Nahum 1-3,137,Revelation 11
,Fri,1 John 5,1 Samuel 19,Job 32,Esther 5,Habakkuk 1-3,138,Revelation 12
,,,,,,,,
51,Mon,Revelation 1,1 Samuel 20,Job 33,Esther 6,Zephaniah 1-3,139,Revelation 13
,Tue,Revelation 2,1 Samuel 21-22,Job 34,Esther 7,Haggai 1-2,140,Revelation 14
,Wed,Revelation 3,1 Samuel 23,Job 35,Esther 8,Zechariah 1-3,141-142,Revelation 15
,Thu,Revelation 4,1 Samuel 24,Job 36,Esther 9,Zechariah 4-6,143,Revelation 16
,Fri,Revelation 5,1 Samuel 25,Job 37,Esther 10,Zechariah 7-9,144,Revelation 17
,,,,,,,,
52,Mon,Revelation 6,1 Samuel 26,Job 38,Malachi 1,Zechariah 10-12,145,Revelation 18
,Tue,Revelation 7,1 Samuel 27,Job 39,Malachi 2,Zechariah 13-14,146,Revelation 19
,Wed,Revelation 20,1 Samuel 28,Job 40,Malachi 3,Malachi 1-4,147,Revelation 20
,Thu,Revelation 21,1 Samuel 29-30,Job 41,Malachi 4,,148,Revelation 21
,Fri,Revelation 22,1 Samuel 31,Job 42,,,149-150,Revelation 22
